JOURNAL,edit
compilers(Gen,compilers(Gen
Comparative Parasitology,Comparative Parasitology
"Comparative Biochemistry and Physiology, Part B","Comparative Biochemistry and Physiology, Part B"
"Comparative Biochemistry and Physiology, Part A","Comparative Biochemistry and Physiology, Part A"
Comparative Biochemistry and Physiology A {\textendash} Molecular and Integrative Physiology (Supplement),"Comparative Biochemistry and Physiology, Part A"
Comparative Biochemistry and Physiology a-Molecular \& Integrative Physiology,"Comparative Biochemistry and Physiology, Part A"
Community Soil Science Plant Anal,Community Soil Science Plant Anal
Community Greening Review,Community Greening Review
Community Ecology,Community Ecology
Community and Ecosystem Ecology,Community and Ecosystem Ecology
Communicative and Integrative Biology,Communicative and Integrative Biology
Communications of the Association for Computing Machinery,Communications of the Association for Computing Machinery
Communications in Statistics -- Simulation and Computation,Communications in Statistics -- Simulation and Computation
Communications in Soil Science and Plant Analysis,Communications in Soil Science and Plant Analysis
Communication In Soil Science Plant Analogy,Communications in Soil Science and Plant Analysis
Commun. Soil Sci. Plant Anal.,Communications in Soil Science and Plant Analysis
Commonwealth Forestry Review,Commonwealth Forestry Review
Comments on Theoret. Biol.,Comments on Theoret. Biol.
Colorado Outdoors,Colorado Outdoors
Colonial Waterbirds,Colonial Waterbirds
Colgate J. Sciences,Colgate J. Sciences
Cold Regions Science and Technology,Cold Regions Science and Technology
Coenoses,Coenoses
Coastal Heritage,Coastal Heritage
Climatic Change,Climatic Change
Climatic change,Climatic Change
Climate variability and ecosystem response: proceedings of along-term ecological research workshop,Climate variability and ecosystem response: proceedings of along-term ecological research workshop
Climate variability and ecosystem response: proceedings of a long-term ecological research workshop [Gen,Climate variability and ecosystem response: proceedings of a long-term ecological research workshop [Gen
Climate variability and ecosystem response: proceedings of a long-term ecological research workshop,Climate variability and ecosystem response: proceedings of a long-term ecological research workshop
Climate Research,Climate Research
Climate Dynamics,Climate Dynamics
"Climate Change in Continental Isotopic Records, American Geophysical Union. Geophysical Monograph","Climate Change in Continental Isotopic Records, American Geophysical Union. Geophysical Monograph"
Climate Change,Climate Change
Clays and Clay Minerals,Clays and Clay Minerals
Cities and the Environment (CATE),Cities and the Environment (CATE)
Cities and The Environment,Cities and The Environment
Cities and the Environment,Cities and the Environment
Cities,Cities
Ciencia e Cultura Journal of the Brazilian Association for the Advancement of Science,Ciencia e Cultura Journal of the Brazilian Association for the Advancement of Science
Choices,Choices
Chiri,Chiri
Chinese Journal of Applied Ecology,Chinese Journal of Applied Ecology
Chemosphere,Chemosphere
Chemistry and Industry,Chemistry and Industry
Chemistry and Ecology,Chemistry and Ecology
Chemical Geology (Isotope Geosci. Section),Chemical Geology (Isotope Geosci. Section)
Chemical Geology,Chemical Geology
Chemical Geolog,Chemical Geology
Chem. Geol.,Chemical Geology
"Charleston, IL: Eastern Illinois University","Charleston, IL: Eastern Illinois University"
Changing the global environment,Changing the global environment
CES Journal of Marine Science,CES Journal of Marine Science
Center of Grassland Studies Newsletter,Center of Grassland Studies Newsletter
"Center for Limnology, UW Madison","Center for Limnology, UW Madison"
"Center for Environmental Studies, Arizona State University.","Center for Environmental Studies, Arizona State University."
Cell Tissue Research,Cell Tissue Research
Cell and Tissue Research,Cell and Tissue Research
CATENA,CATENA
Catena,Catena
Catchment experiments in fluvial geomorphology: Proceedings of a meeting of the International Geographical Union Commission on Field Experiments in Geomorphology,Catchment experiments in fluvial geomorphology: Proceedings of a meeting of the International Geographical Union Commission on Field Experiments in Geomorphology
Castanes,Castanes
Castanea,Castanea
Caribbean Journal Science,Caribbean Journal of Science
Caribbean Journal of Science,Caribbean Journal of Science
Candian Journal of Forest Research,Candian Journal of Forest Research
Canadian Veterinary Journal,Canadian Veterinary Journal
Canadian Technical Report of Fisheries and Aquatic Sciences,Canadian Technical Report of Fisheries and Aquatic Sciences
Canadian Journal of Zoology,Canadian Journal of Zoology
Canadian Journal of Zoologoy,Canadian Journal of Zoology
Canadian Journal of Soil Science,Canadian Journal of Soil Science
Canadian Journal of Remote Sensing,Canadian Journal of Remote Sensing
Canadian Journal of Plant Science,Canadian Journal of Plant Science
Canadian Journal of Microbiology,Canadian Journal of Microbiology
Canadian Journal of Forestry Resources,Canadian Journal of Forestry Resources
Canadian Journal of Forestry,Canadian Journal of Forestry
Canadian Journal of Forest Resources,Canadian Journal of Forest Resources
Canadian Journal of Forest Research,Canadian Journal of Forest Research
Canadian Journal of Fisheries and Aquatic Sciences.,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Fisheries and Aquatic Sciences also kept permenantly on LLL and TL journal shelves,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Fisheries and Aquatic Sciences also kept permanently on LLL and TL journal shelves,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal Of Fisheries and Aquatic Sciences,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Fisheries and Aquatic Sciences,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Fisheries and Aquatic Science,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Fisheries and  Aquatic Science,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Journal of Earth Sciences,Canadian Journal of Earth Sciences
Canadian Journal of Botany.,Canadian Journal of Botany
Canadian Journal of Botany-Revue Canadienne De Botanique,Canadian Journal of Botany
Canadian Journal of Botany,Canadian Journal of Botany
Canadian Journal of Animal Science,Canadian Journal of Animal Science
Canadian Journal Forestry Research,Canadian Jounal of Forest Research
Canadian Jounal of Forest Research,Canadian Jounal of Forest Research
Canadian J. Fisheries and Aquatic Sciences,Canadian Journal of Fisheries and Aquatic Sciences
Canadian Field-Naturalist,Canadian Field-Naturalist
Canadian Entomology,Canadian Entomology
Canadian Entomologist,Canadian Entomologist
Canada Journal of Zoology,Canadian Journal of Zoology
Can. J. Zool.,Canadian Journal of Zoology
Can. J. Remote Sensing,Canadian Journal of Remote Sensing
Can. J. of Forest Research,Canadian Journal of Forest Research
Can. J. Microbiology,Canadian Journal Microbiology
Can. J. For. Res.,Canadian Jounal of Forest Research
Can. J. For. Res,Canadian Jounal of Forest Research
Can. J. Fish. Aquat. Sci.,Canadian Journal of Fisheries and Aquatic Sciences
Can. J. Botany,Canadian Journal of Botany
Can. J. Bot.,Canadian Journal of Botany
Can,Can
California Fish and Game Scientific Journal,California Fish and Game
California Fish and Game,California Fish and Game
California Cooperative Oceanic Fisheries Investigations Reports,California Cooperative Oceanic Fisheries Investigations Reports
California Cooperative Oceanic Fisheries Investigation Reports,California Cooperative Oceanic Fisheries Investigation Reports
Cahiers de Biologie Marine,Cahiers de Biologie Marine
Cactus and Succulents Journal (Los Angeles),Cactus and Succulents Journal (Los Angeles)
"C. Jones and J. H. Lawton, eds. Linking Species and Ecosystems. Chapman and Hall, New York.","C. Jones and J. H. Lawton, eds. Linking Species and Ecosystems. Chapman and Hall, New York."
"C. J. Watras, and J. W. Huckabee, Eds., Mercury Pollution: Integration and Synthesis. Lewis Publishers, Boca Raton, Florida. Presented at the International Conference on Mercury as a Global Pollutant, Monterey, CA, May 31-June 4, 1992. CRC Press, Inc., Bo","C. J. Watras, and J. W. Huckabee, Eds., Mercury Pollution: Integration and Synthesis. Lewis Publishers, Boca Raton, Florida. Presented at the International Conference on Mercury as a Global Pollutant, Monterey, CA, May 31-June 4, 1992. CRC Press, Inc., Bo"
Bulletins of American Paleontology,Bulletins of American Paleontology
Bulletin Zoologisch Museum,Bulletin Zoologisch Museum
Bulletin of Torrey Botanical Club,Bulletin of the Torrey Botanical Club
Bulletin of the Torrey Botanical Club,Bulletin of the Torrey Botanical Club
Bulletin of the Torrey  Botanical Club,Bulletin of the Torrey Botanical Club
Bulletin of the Southern California Academy of Sciences,Bulletin of the Southern California Academy of Sciences
Bulletin of the North American Benthological Society,Bulletin of the North American Benthological Society
Bulletin of the Ecological Society of America Supplement,Bulletin of the Ecological Society of America Supplement
Bulletin of the Ecological Society of America,Bulletin of the Ecological Society of America
Bulletin of the Association of Engineering Geologists,Bulletin of the Association of Engineering Geologists
Bulletin of the American Meteorology Society,Bulletin of the American Meteorological Society
Bulletin of the American Meteorological Society,Bulletin of the American Meteorological Society
Bulletin of Mathematical Biology,Bulletin of Mathematical Biology
Bulletin of Marine Science,Bulletin of Marine Science
Bulletin of Environmental Contamination and Toxicology,Bulletin of Environmental Contamination and Toxicology
Bulletin of Ecological Society of America,Bulletin of the Ecological Society of America
Bulletin of American Meteorological Society,Bulletin of the American Meteorological Society
Bulletin NABS,Bulletin NABS
Bulletin British Ecological Society,Bulletin British Ecological Society
Bull. Torrey Botanical Club,Bulletin of the Torrey Botanical Club
Bull. Torrey Bot. Club.,Bulletin of the Torrey Botanical Club
Bull. Torrey Bot. Club,Bulletin of the Torrey Botanical Club
Bull. North Amer. Benthol. Soc.,Bulletin of the North American Benthological Society
Bull. Ecol. Soc. Amer.,Bulletin of the Ecological Society of America
Bull. Ecol. Soc. Am.,Bulletin of the Ecological Society of America
Bull. Ecol. Amer. Soc.,Bulletin of the Ecological Society of America
Bull. Amer. Meteorol. Soc.,Bulletin of the American Meteorological Society
Bull. Amer. Meteor. Soc,Bulletin of the American Meteorological Society
Building and Environment,Building and Environment
British Ecological Society,British Ecological Society
Brimleyana,Brimleyana
Brenesia,Brenesia
Boundary Layer Meteorology,Boundary Layer Meteorology
Boundary-Layer Meteorology,Boundary Layer Meteorology
Botany Review,Botany Review
Botany Gazette,Botany Gazette
Botany-Botanique,Botany
Botany,Botany
Botanical Review,Botanical Review
Botanical Gazette,Botanical Gazette
Botanical,Botanical
Botanica Marina,Botanica Marina
Boreal Environment Research,Boreal Environment Research
Bollettino della Societa italiana di Ecologia,Bollettino della Societa italiana di Ecologia
BMC GENOMICS,BMC GENOMICS
BMC Ecology,BMC Ecology
BMC Bioinformatics,BMC Bioinformatics
"Blacksburg, VA: Virginia Polytechnic Institute and State University","Blacksburg, VA: Virginia Polytechnic Institute and State University"
Biotropica,Biotropica
BioSciences,BioScience
BioScience.,BioScience
BioScience,BioScience
Bioscience,BioScience
BiooScience Vol,BioScience
Biometrics,Biometrics
Biology Letters,Biology Letters
Biology Fertility of Soils,Biology and Fertility of Soils
Biology and Fertility of Soils,Biology and Fertility of Soils
Biology and Fertility of Soil,Biology and Fertility of Soils
Biology \& Fertility of Soils,Biology and Fertility of Soils
Biology,Biology
Biologue,Biologue
Biologiske Skrifter,Biologiske Skrifter
Biological Science (Tokyo),Biological Science (Tokyo)
Biological Reviews,Biological Reviews
Biological Journal of the Linnean Society,Biological Journal of the Linnean Society
Biological Journal of the Linnaean Society,Biological Journal of the Linnaean Society
Biological Invasions (Special Issue),Biological Invasions
Biological Invasions,Biological Invasions
Biological Invasion,Biological Invasions
Biological Fertilization of Soil,Biology and Fertility of Soils
Biological Fertility of Soils,Biology and Fertility of Soils
Biological Control,Biological Control
Biological Conservation,Biological Conservation
Biological Bulletin,Biological Bulletin
Biologia Plantarum,Biologia Plantarum
Biologia Ambientale,Biologia Ambientale
Biol. Fertil. Soils,Biology and Fertility of Soils
Biol,Biol
Biogeosciences,Biogeosciences
Biogeochemistry.,Biogeochemistry
Biogeochemistry of Small Catchments: A Tool for Environmental Research,Biogeochemistry of Small Catchments: A Tool for Environmental Research
Biogeochemistry,Biogeochemistry
Biogeochem.,Biogeochemistry
Biofouling,Biofouling
Biofizika,Biofizika
Biodiversity Science,Biodiversity Science
Biodiversity and Conservation,Biodiversity and Conservation
"Biodeterioration Research 4, Edited by G",Biodeterioration Research
Biodeterioration Research,Biodeterioration Research
BioControl,BioControl
Biochemistry,Biochemistry
Biochemical Systematics and Ecology,Biochemical Systematics and Ecology
Bio Invasions,Bio Invasions
Belowground Ecology,Belowground Ecology
"Beijing, China","Beijing, China"
Behaviour,Behaviour
Behavioral Ecology and Sociobiology,Behavioral Ecology and Sociobiology
Behavioral Ecology,Behavioral Ecology
Behav. Ecol. Sociobiol.,Behavioral Ecology and Sociobiology
Bayesian Analysis,Bayesian Analysis
Bats,Bats
Basic and Applied Ecology,Basic and Applied Ecology
Banisteria,Banisteria
Bacterial growth in Antarctic lakes:  The role of phytoplankton extracellular,Bacterial growth in Antarctic lakes:  The role of phytoplankton extracellular
AWRA 28th,AWRA 28th
Austrialian Journal of Zoology,Austrialian Journal of Zoology
Austrialian Journal of Plant Physiology,Austrialian Journal of Plant Physiology
Australian Systematic Botany,Australian Systematic Botany
Australian Journal of Soil Research,Australian Journal of Soil Research
Australian Journal of Experimental Agriculture,Australian Journal of Experimental Agriculture
Australian Journal of Ecology,Australian Journal of Ecology
Australian Journal of Botany,Australian Journal of Botany
Austral Ecology,Austral Ecology
Aust. J. of Exp. Ag,Australian Journal of Experimental Agriculture
Auk,Auk
Atmospheric Envrionment,Atmospheric Environment
Atmospheric Environment,Atmospheric Environment
Atmospheric Deposition; Symposium of the 3rd Scientific Assembly of the IAHS [IAHS Pub,Atmospheric Deposition; Symposium of the 3rd Scientific Assembly of the IAHS [IAHS Pub
Atmospheric Chemistry and Physics Discussions,Atmospheric Chemistry and Physics Discussions
Atmos. Environ. \& Acid Rain (China),Atmos. Environmental and Acid Rain (China)
Atmos. Environ.,Atmospheric Environment
Atmos. Chem. Phys.,Atmospheric Chemistry and Physics Discussions
"Athens, GA: University of Georgia","Athens, GA: University of Georgia"
ASB Bulletin,ASB Bulletin
Artificial Intelligence Applications in Natural Re,Artificial Intelligence Applications in Natural Re
"Arthaud, G","Arthaud, G"
Artc. Antarct. Alp. Res.,"Arctic, Antarctic, and Alpine Research"
Arnoldia,Arnoldia
Arizona-Nevada Academy of Science Journal,Arizona-Nevada Academy of Science Journal
Arid Soil Research and Rehabilitation,Arid Soil Research and Rehabilitation
Arid Land Research and Management,Arid Land Research and Management
Arid Land Research and Managament,Arid Land Research and Management
"Arctic,Antarctic, and Alpine Research","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic, and Alpine Research.","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic, and Alpine Research [Arct. Antarct. Alp. Res.]","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic, and Alpine Research","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic, and Alpine research","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic, \& Alpine Research.","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic and Alpine Research","Arctic, Antarctic, and Alpine Research"
"Arctic, Antarctic and Alpine Res","Arctic, Antarctic, and Alpine Research"
Arctic Research of the United States,Arctic Research of the United States
Arctic Anthropology,Arctic Anthropology
Arctic Antarctic and Alpine Research,"Arctic, Antarctic, and Alpine Research"
Arctic and Alpine Research [ARCT. ALP. RES.],Arctic and Alpine Research
Arctic and Alpine Research,Arctic and Alpine Research
Arctic and Alpine research,Arctic and Alpine research
Arctic,Arctic
Archives of Hydrobiology,Archives of Hydrobiology
Archives of Environmental Contamination and Toxicology,Archives of Environmental Contamination and Toxicology
Archives of Agronomy and Soil Science,Archives of Agronomy and Soil Science
Archive Hydrobiology,Archive Hydrobiology
Archive fur Hydrobiologie,Archiv fuer Hydrobiologie
Archiv fur Hydrobiologie Beiheft,Archiv fuer Hydrobiologie
Archiv Fur Hydrobiologie,Archiv fuer Hydrobiologie
Archiv fur Hydrobiologie,Archiv fuer Hydrobiologie
Archiv fuer Hydrobiologie,Archiv fuer Hydrobiologie
Archiv for Hydrobiologie,Archiv fuer Hydrobiologie
"Archiv f{\""Y}r Hydrobiologie",Archiv fuer Hydrobiologie
Architectural Design,Architectural Design
Archeological Society of New Mexico Annual Volumes,Archeological Society of New Mexico Annual Volumes
Arch. Hydrobiol. Suppl.,Archiv fuer Hydrobiologie
Arch. Hydrobiol.,Archiv fuer Hydrobiologie
Arboriculture and Urban Forestry,Arboriculture and Urban Forestry
Arboriculture \& Urban Forestry,Arboriculture and Urban Forestry
Arboricultural Journal,Arboricultural Journal
Aquatic Sciences,Aquatic Sciences
Aquatic Science,Aquatic Sciences
Aquatic Microbial Ecology,Aquatic Microbial Ecology
Aquatic Insects,Aquatic Insects
Aquatic Geochemistry,Aquatic Geochemistry
Aquatic Ecology,Aquatic Ecology
Aquatic Conservation: Marine and Freshwater Ecosystems,Aquatic Conservation
Aquatic Conservation,Aquatic Conservation
Aquatic Botany,Aquatic Botany
Aquatic Biology,Aquatic Biology
Aquacultural Engineering,Aquacultural Engineering
"Approaches to Greenhouse Gas Inventories of Biogenic Soures in Agriculture. *  Workshop on EU Concerted Action FAIR3-CT96-1877, Biogenic Emissions of Greenhouse Gases Caused by Arable and Animal Agriculture","Approaches to Greenhouse Gas Inventories of Biogenic Soures in Agriculture. *  Workshop on EU Concerted Action FAIR3-CT96-1877, Biogenic Emissions of Greenhouse Gases Caused by Arable and Animal Agriculture"
Applied Vegetation Science,Applied Vegetation Science
Applied Spectroscopy,Applied Spectroscopy
Applied Speactroscopy,Applied Spectroscopy
Applied Soil Ecology,Applied Soil Ecology
Applied Optics,Applied Optics
Applied Microbiology and Biotechnology,Applied Microbiology and Biotechnology
Applied Mathematical Modeling,Applied Mathematical Modeling
Applied Geography,Applied Geography
Applied Geochemistry,Applied Geochemistry
Applied Environmental Microbiology,Applied Environmental Microbiology
Applied Environment Microbiology,Applied Environmental Microbiology
Applied Environemntal Microbiology,Applied Environmental Microbiology
Applied Ecology,Applied Ecology
Applied Animal Behaviour Science,Applied Animal Behavior Science
Applied Animal Behavior Science,Applied Animal Behavior Science
Applied and Environmental Soil Science,Applied and Environmental Soil Science
Applied and Environmental Microbology,Applied and Environmental Microbology
Applied and Environmental Microbiology.,Applied and Environmental Microbology
Applied and Environmental Microbiology,Applied and Environmental Microbology
Applied and Enviromental Microbiology,Applied and Environmental Microbology
Applied \& Environmental Microbiology,Applied and Environmental Microbology
Appl. Environ. Microbiol.,Applied and Environmental Microbology
Appl. and Environ. Microbiol.,Applied and Environmental Microbology
Appalachia,Appalachia
Antonie van Leeuwenhoek,Antonie van Leeuwenhoek
Anthropological Papers of the American Museum of Natural History,Anthropological Papers of the American Museum of Natural History
Anthropologica,Anthropologica
Antarctic Science.,Antarctic Science
Antarctic Science,Antarctic Science
Antarctic Research Series,Antarctic Research Series
Antarctic Journal of the US,Antarctic Journal of the US
Antarctic Journal of the United States - 1996 Review Issue (NSF 98-28),Antarctic Journal of the US
Antarctic Journal of the United States,Antarctic Journal of the US
Antarctic Journal of the U.S.,Antarctic Journal of the US
Antarctic Journal of the U.S,Antarctic Journal of the US
Antarctic Journal of the U. S.,Antarctic Journal of the US
"Antarctic Communities: Species, Structure and Survival","Antarctic Communities: Species, Structure and Survival"
Annual Reviews of Marine Science,Annual Reviews of Marine Science
Annual Reviews of Ecology and Systematics,Annual Reviews of Ecology and Systematics
Annual Reviews Entomology,Annual Reviews Entomology
Annual Review Phytopathology,Annual Review of Phytopathology
Annual Review of Phytopathology,Annual Review of Phytopathology
Annual Review of Physiology,Annual Review of Physiology
Annual Review of Microbiology,Annual Review of Microbiology
Annual Review of Marine Science,Annual Review of Marine Science
Annual Review of Environment and Resources,Annual Review of Environment and Resources
Annual Review of Entomology,Annual Review of Entomology
Annual Review of Energy and the Environment,Annual Review of Energy and the Environment
Annual Review of Energy and Environment,Annual Review of Energy and Environment
"Annual Review of Ecologyk Evolution, and Systematics","Annual Review of Ecology, Evolution, and Systematics"
"Annual Review of Ecology, Evolution, and Systematics","Annual Review of Ecology, Evolution, and Systematics"
"Annual Review of Ecology, Evolution and Systematics","Annual Review of Ecology, Evolution, and Systematics"
Annual Review of Ecology Systems,Annual Review of Ecological Systems
Annual Review of Ecology and Systematics,Annual Review of Ecology and Systematics
Annual Review of Ecological Systems,Annual Review of Ecological Systems
Annual Review of Earth and Planetary Sciences,Annual Review of Earth and Planetary Sciences
Annual Review Entomology,Annual Review Entomology
Annual Entomology Society of America,Annual Entomology Society of America
Annu. Rev. Ecol. Syst.,Annual Review of Ecology and Systematics
Annu. Rev. Ecol. Evol. Systemat.,"Annual Review of Ecology, Evolution, and Systematics"
Annals of the New York Academy of Sciences,Annals of the New York Academy of Sciences
Annals of the Entomological Society of America,Annals of the Entomological Society of America
Annals of the Association of American Geographers,Annals of the Association of American Geographers
Annals of Glaciology,Annals of Glaciology
Annals of Botany,Annals of Botany
Annals of Arid Zone,Annals of Arid Zone
"Annals of Allergy, Asthma, and Immunology","Annals of Allergy, Asthma, and Immunology"
Annales de la Soci{\'e}t{\'e} royale zoologique de Belgique,Annales de la Soci{\'e}t{\'e} royale zoologique de Belgique
Annal of Botany,Annals of Botany
Ann.Zool Nat.Hist.Mus.Hung.(Annales Historico Naturales Musei Nationalis Hungarici),Ann.Zool Nat.Hist.Mus.Hung.(Annales Historico Naturales Musei Nationalis Hungarici)
Ann. Rev. Ecology Systematics,Annual Review of Ecology and Systematics
Ann. Rev. Ecol. Systematics,Annual Review of Ecology and Systematics
Ann. Rev. Ecol. Syst.,Annual Review of Ecology and Systematics
Ann. of Botany,Annals of Botany
Ann. N.Y. Acad. Sci.,Ann. N.Y. Acad. Sci.
Ann. Bot,Annals Botany
Animal Feed Science Technology,Animal Feed Science Technology
Animal Feed Science and Technology,Animal Feed Science and Technology
Animal Conservation,Animal Conservation
Animal Behaviour,Animal Behavior
Animal Behavior,Animal Behavior
Animal,Animal
Anim. Behav.,Animal Behavior
Analytical and Bioanalytical Chemistry,Analytical and Bioanalytical Chemistry
American Zoologist,American Zoologist
American Water Resources Association TPS,American Water Resources Association TPS
American Society of Limnology and Oceanography,American Society of Limnology and Oceanography
American Society of Civil Engineers,American Society of Civil Engineers
American Scientist,American Scientist
American Press,American Press
American Naturalist,American Naturalist
American Midland Naturalist,American Midland Naturalist
American Meteorological Society,American Meteorological Society
American Malacological Bulletin,American Malacological Bulletin
American Journal ofScience,American Journal of Science
American Journal of Tropical Medicine and Hygiene,American Journal of Tropical Medicine and Hygiene
American Journal of Science,American Journal of Science
American Journal of Botany,American Journal of Botany
American Journal of Agricultural Economics,American Journal of Agricultural Economics
American Jounal of Botany,American Journal of Botany
American Geophysical Union EOS Transactions,American Geophysical Union EOS Transactions
American Forests,American Forests
American Fisheries Society Symposium,American Fisheries Society Symposium
American Entomologist,American Entomologist
American Chemical Society,American Chemical Society
American Birds,American Birds
American Biology Teacher,American Biology Teacher
American Antiquity,American Antiquity
American Anthropologist,American Anthropologist
American  Naturalist,American  Naturalist
American  Midland Naturalist,American  Midland Naturalist
Amer. Midl. Natur.,American  Midland Naturalist
Amer. Midl. Nat.,American  Midland Naturalist
Amer. Mid. Nat.,American  Midland Naturalist
Amer. Meteorolog. Soc.,American Meteorological Society
Amer. J. Bot.,American Journal of Botany
Ameican Midland Naturalist,American  Midland Naturalist
AMBIO: A Journal of the Human Environment,AMBIO: A Journal of the Human Environment
AMBIO,AMBIO: A Journal of the Human Environment
Ambio,AMBIO: A Journal of the Human Environment
Am. Nat.,Am. Nat.
Am. Midl. Nat. 144,American  Midland Naturalist
Am. Jour. Botany,American Journal of Botany
Am. J. Bot.,American Journal of Botany
Am,Am
Alpine and Alpine Research,Alpine and Alpine Research
Alces,Alces
Alaska Park Science: Connection to Natural and Cultural Resource Studies in Alaska{\textquoteright}s National Parks,Alaska Park Science: Connection to Natural and Cultural Resource Studies in Alaska{\textquoteright}s National Parks
Alaska Park Science,Alaska Park Science
Agronomy Journal 84,Agronomy Journal
Agronomy Journal,Agronomy Journal
Agroforestry Systems,Agroforestry Systems
Agroecosystem effects in radiatively active trace gases and global climate change,Agroecosystem effects in radiatively active trace gases and global climate change
Agroborealis,Agroborealis
"Agriculture,Ecosystems and Environment","Agriculture, Ecosystems and the Environment"
"Agriculture, Ecosystems, and Environment","Agriculture, Ecosystems and the Environment"
"Agriculture, Ecosystems and the Environment","Agriculture, Ecosystems and the Environment"
"Agriculture, Ecosystems and Environment","Agriculture, Ecosystems and the Environment"
"Agriculture, Ecosystems an d Environment","Agriculture, Ecosystems and the Environment"
"Agriculture, Ecosystems \& Environment","Agriculture, Ecosystems and the Environment"
Agriculture and Forest Meteorology,Agricultural and Forest Meteorology
Agriculture and Forest Entomology,Agriculture and Forest Entomology
Agricultural Water Management,Agricultural Water Management
Agricultural Systems,Agricultural Systems
Agricultural Research,Agricultural Research
Agricultural Meteorology,Agricultural Meteorology
Agricultural Ecosystems and their Environments,Agricultural Ecosystems and their Environments
Agricultural and Resource Economics Review,Agricultural and Resource Economics Review
Agricultural and Forest Meterorology,Agricultural and Forest Meteorology
Agricultural and Forest Meterology,Agricultural and Forest Meteorology
Agricultural and Forest Meteorology,Agricultural and Forest Meteorology
Agricultural and Forest Entomology,Agricultural and Forest Entomology
Agric. Forest Meteorol.,Agricultural and Forest Meteorology
"Agric. Forest Meteor., Special Press",Agricultural and Forest Meteorology
Agric. For. Meteorol.,Agricultural and Forest Meteorology
Agric,Agric
Agiculture and  Forest Meteorology,Agricultural and Forest Meteorology
African Journal of Range and Forage Science,African Journal of Range and Forage Science
African Journal of Marine Science,African Journal of Marine Science
African Journal of Ecology,African Journal of Ecology
Aeolian Research,Aeolian Research
Advances in Water Resources,Advances in Water Resources
Advances in Space Research,Advances in Space Research
Advances in Soil Science,Advances in Soil Science
Advances in Resources and Eco-Environmental Research (Chinese),Advances in Resource and Eco-Environmental Research (Chinese)
Advances in Resource and Eco-Environmental Research (Chinese),Advances in Resource and Eco-Environmental Research (Chinese)
Advances in Parasitology,Advances in Parasitology
Advances in Mineral Nutrition,Advances in Mineral Nutrition
Advances in Geosciences,Advances in Geosciences
Advances in Environmental Monitoring and Modeling,Advances in Environmental Monitoring and Modeling
Advances in Ecology (China),Advances in Ecology (China)
Advances in Ecological Research,Advances in Ecological Research
Advances in agronomy,Advances in agronomy
Adv. Water Res.,Advances in Water Resources
Adirondack Journal of Environmental Studies,Adirondack Journal of Environmental Studies
AD Architectural Design,AD Architectural Design
Acta Zoologica Sinica,Acta Zoologica Sinica
Acta Theriologica,Acta Theriologica
Acta Phytoecologica Sinica,Acta Phytoecologica Sinica
Acta Phytoecologica et Geobotanica Sinica,Acta Phytoecologica et Geobotanica Sinica
Acta Phytoecologia Sinica,Acta Phytoecologica Sinica
Acta Oecologica,Acta Oecologica
Acta Oecologia,Acta Oecologica
Acta Horticulturae,Acta Horticulturae
Acta Ethologica,Acta Ethologica
Acta Ecologica Sinica,Acta Ecologica Sinica
Acta Cientifica,Acta Cientifica
Acta cientifica,Acta Cientifica
Acta Biotheoretica,Acta Biotheoretica
Acta Biol. Debr. Oecol. Hung.,Acta Biol. Debr. Oecol. Hung.
Acta  Horticulturae,Acta  Horticulturae
Acoustical Society of America,Acoustical Society of America
Acarologia,Acarologia
"Academic Press, Inc., New York","Academic Press, Inc., New York"
Abstracta Botanica,Abstracta Botanica
"Abstract for ASLO {\textquoteright}97 Aquatic Sciences Meeting, 10-14 February","Abstract for ASLO {\textquoteright}97 Aquatic Sciences Meeting, 10-14 February"
"A Time Saving Resource, Protection From Search-strategy Predators, or Cues for Nest-site Selection? The Condor","A Time Saving Resource, Protection From Search-strategy Predators, or Cues for Nest-site Selection? The Condor"
A report to the National Science Foundation,A report to the National Science Foundation
A Dynamic Invasive Species Research Vision: Opportunities and Priorities,A Dynamic Invasive Species Research Vision: Opportunities and Priorities
9,9
238-239,238-239
"1993 October 18-20; Athens, GA","1993 October 18-20; Athens, GA"
1987 May 4-5,1987 May 4-5
1983 June 7-9,1983 June 7-9
186-187,186-187
[Microfiche],[Microfiche]
(Short communication),(Short communication)
(Chapter 69) in J,(Chapter 69) in J
